# EDIT THIS FILE, THEN: python3 rename-scans.py
# Fill any ???? and correct anything marked CHECK. Blank the new_name to skip a file.
# Naming: <year>-<volume-slug>.pdf inside the existing author folder. Name the VOLUME, not the text.
current	new_folder	new_name	year_source	books_served
Nielsen, Rasmus/propaedeutik-1861.pdf	Nielsen, Rasmus	1861-propaedeutik-darwin.pdf	in current filename - CHECK	nielsen/propaedeutik-darwin
Høffding, Harald/Psykologi i Omrids 1885.pdf	Høffding, Harald	1885-psykologi-i-omrids-2udg.pdf	KB cover / title page	hoeffding/psykologi
Høffding, Harald/religion-og-videnskab.pdf	Høffding, Harald	1910-1911-religionshistoriske-smaaskrifter-bd1-6.pdf	KB cover / title page	hoeffding/religion-og-videnskab
Høffding, Harald/religionsfilosofi.pdf	Høffding, Harald	1906-religionsfilosofi-2opl.pdf	KB cover / title page	hoeffding/religionsfilosofi
texts/hoeffding/menneskelige-tanke/scan.pdf	MOVE-TO-BIBLIOTEK	1910-menneskelige-tanke.pdf	title line of the book's own notes - CHECK	hoeffding/menneskelige-tanke
texts/hoeffding/pascal-kierkegaard/scan.pdf	MOVE-TO-BIBLIOTEK	1923-pascal-kierkegaard.pdf	title line of the book's own notes - CHECK	hoeffding/pascal-kierkegaard
texts/hoeffding/relation-som-kategori/scan.pdf	MOVE-TO-BIBLIOTEK	1921-relation-som-kategori.pdf	title line of the book's own notes - CHECK	hoeffding/relation-som-kategori
texts/hoeffding/religionsfilosofiens-opgave/scan.pdf	MOVE-TO-BIBLIOTEK	1900-religionsfilosofiens-opgave.pdf	only year on title page - CHECK	hoeffding/religionsfilosofiens-opgave
texts/nielsen/propaedeutik-1860-61/scan.pdf	MOVE-TO-BIBLIOTEK	1862-propaedeutik-1860-61.pdf	title line of the book's own notes - CHECK	nielsen/propaedeutik-1860-61
texts/nielsen/religionsphilosophie/scan.pdf	MOVE-TO-BIBLIOTEK	1869-religionsphilosophie.pdf	title line of the book's own notes - CHECK	nielsen/religionsphilosophie
Nielsen, Rasmus/speculative-methodes.pdf	Nielsen, Rasmus	1842-speculative-methodes-anvendelse.pdf	KB cover page: Kjoebenhavn, H.C. Klein 1842, 162 s.	nielsen/speculative-methode
Nielsen, Rasmus/synpunkt-darwinismen.pdf	Nielsen, Rasmus	1873-darwinismen.pdf	only year on title page - CHECK	nielsen/darwinismen
Nielsen, Rasmus/theologiens_naturbegreb.pdf	Nielsen, Rasmus	1855-theologiens-naturbegreb.pdf	only year on title page - CHECK	nielsen/theologiens-naturbegreb
Sibbern, Frederik/Udaf_Gabrielis_breve_til_og_fra_hjemmet.pdf	Sibbern, Frederik	1893-gabrielis-5udg.pdf	title page: FEMTE UDGAVE, Reitzel 1893	sibbern/gabrielis
Treschow, Niels/videnskabernes-selskabs-skrifter-ser3-bd5-1810.pdf	Treschow, Niels	1810-vidensk-selsk-skr-ser3-bd5.pdf	KB cover / title page	treschow/enslige-ting
Høffding, Harald/Vort Hjem, V1, 1903.pdf	Høffding, Harald	1903-vort-hjem.pdf	in current filename - CHECK	hoeffding/vort-hjem
